comments,created_time,id,link,message,reactions_angry,reactions_haha,reactions_like,reactions_love,reactions_sad,reactions_wow,shares,story
0,2017-02-26T04:00:01+0000,146241435387419_1494325273912355,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1494325273912355/?type=3,"BTS of our most exciting launch for the season… just 2 more days till their exclusive launch at Takashimaya.

#MeetYourNewSqueeze #ArtStick #BeWhoYouAre #BobbiBrownSG",0,0,5,0,0,0,,
0,2017-02-25T06:00:01+0000,146241435387419_1494322307245985,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1494322307245985/?type=3,"Another sneak peak at our latest color launch. An art supply inspired collection and a modern take on liquid lipsticks. Stay tuned! 

#MeetYourNewSqueeze #ArtStick #BeWhoYouAre #BobbiBrownSG",0,0,13,0,0,0,,
0,2017-02-24T03:15:00+0000,146241435387419_1493199494024933,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1493199494024933/?type=3,"If you haven't heard, our Havana Collection has launched exclusively at Isetan Scotts and Isetan Katong.

The 2 Illuminating Cheek Palettes includes a Bronzer, Blush and Highlight - the perfect trio for an instant sexy glow. It's the perfect all in Cheek Palette, great for your makeup bag! 

Also, here's another sneak peak at some of our other launches coming out in March... Watch this space! 

Photo Credits: Faye (Instagram: @wisteriaful)",0,0,12,0,0,0,,
0,2017-02-23T10:30:00+0000,146241435387419_1491659414178941,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1491659414178941/?type=3,"""Recently, I only wear simple and light make up to highlight my perfect skin.

The look is so natural, flawless and has a dewy glow that I am so proud to show everyone.

This is all thanks to Bobbi Brown's Intensive Skin Serum Foundation! This amazing product let me indulge in the clean, fresh and simple beauty. By the way, I’m using #01warmivory!"" - Xiao Zhu (Weibo: @小猪姐姐zz) 

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador #BobbiBrown密集修护菁华粉底液 #虫草菁华充电底妆 @BobbiBrownChina",0,0,10,0,0,0,,
0,2017-02-23T02:30:01+0000,146241435387419_1491653274179555,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1491653274179555/?type=3,"""Being confident is absolutely part of my lifestyle. And I start from the perfect foundation.

Ever since I met Bobbi Brown's Intensive Skin Serum Foundation (I’m using #01warmivory!) I can’t help but to stare at my skin in the mirror, so amazing!

Love love love Bobbi Brown! It never lets me down!"" - Xiao Zhu (Weibo: 小猪姐姐zz)

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador

#BobbiBrown密集修护菁华粉底液 #虫草菁华充电底妆@BobbiBrownChina",0,0,4,0,0,0,,
0,2017-02-22T10:52:57+0000,146241435387419_1491650740846475,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1491650740846475/?type=3,"A new squeeze is coming your way... Watch this space for updates! 

#MeetYourNewSqueeze #ArtStick #BobbiBrown #BobbiBrownSG",0,0,5,0,0,0,,
0,2017-02-21T11:08:21+0000,146241435387419_1490755664269316,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1490755664269316/?type=3,"Pssst... Missed us?

Our Remedies are back in stock Island-wide! If you didn't manage to get your hands on the latest addition to our skincare range, it's time to do so now! 

Try the winning combination of our Skin Fortifier, Skin Reviver and Skin Moisture Solution to give your skin the ultimate moisture surge! 

Give it a try at our studios now! 

#BobbiBrownSG #BobbiRemedies #BeWhoYouAre",0,0,4,0,0,0,1.0,
0,2017-02-21T06:06:33+0000,146241435387419_1490602200951329,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1490601464284736/?type=3,"""I enjoy wearing vintage accessories and Intensive Skin Serum Foundation (warm beige) for maximum attraction. I feel beautiful and confident wearing them!"" - @5400wu

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BobbiBrownTaiwan #BobbiBrown Bobbi Brown
#高保濕修護精華粉底 #注入冬蟲夏草精華",0,0,9,0,0,0,,
0,2017-02-20T02:16:50+0000,146241435387419_1489438994400983,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1489438994400983/?type=3,"""Bobbi Brown's Intensive Skin Serum Foundation makes me glow anytime and anywhere. It's more than just a foundation! The serum ingredient steadily energizes and repairs skin. Love the freshness and radiance! I’m wearing warm beige!"" - @5400wu

Get Mama Shu Ling's radiant glow, now with extended shades!

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BobbiBrownTaiwan #BobbiBrownSG 
Bobbi Brown
#高保濕修護精華粉底 #注入冬蟲夏草精華",0,0,7,0,0,0,1.0,
0,2017-02-17T06:13:12+0000,146241435387419_1486447154700167,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1486445694700313/?type=3,"""Please take a moment and appreciate this gorgeous packaging of this Bobbi Brown Intensive Skin Serum Foundation (in Sand). This luxurious black and gold design is unbeatable 😍I really like how it matches my beloved fashion items!"" - Pumpkinjenn

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BobbiBrownHK #BBAmbassador
#蟲草修護精華粉底液 #真正護膚粉底 @BobbiBrown",0,0,12,0,0,0,,
0,2017-02-22T03:52:30+0000,146241435387419_1491455504199332,http://gph.is/2m64VCX,"""Bobbi Brown Intensive Skin Serum Foundation in Sand has been one of my favorite everyday foundations! It applies incredibly smoothly on the skin and also even out any unevenness. I skip sunscreen/ serum when I'm wearing it. As it already contains awesome skincare benefit and high SPF. It's definitely my no.1 pick when I'm in a rush."" - Pumpkinjenn

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BobbiBrownHK #BBAmbassador
#蟲草修護精華粉底液 #真正護膚粉底 @BobbiBrown",0,0,2,0,0,0,,
2,2017-02-13T11:00:11+0000,146241435387419_1480093765335506,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1480093765335506/?type=3,"""There are too many beauty products now. You can always try the new products but I recommend you to find your own signature item, especially for a foundation. In my case, I always return to Serum Foundation. Love the select ingredients, formula, shade-my shade is Warm Ivory-and everything!"" - @risabae_art

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador @BobbiBrown @BobbiBrownkorea #세럼파운데이션 #광채파데 #바비브라운",0,0,5,0,0,0,,
0,2017-02-13T10:00:00+0000,146241435387419_1480088138669402,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1480088138669402/?type=3,"""I have been using numerous liquid foundations and now found my best one –Bobbi Brown Serum Foundation, Love the silky yet moist formula and luminous and clear finish. Find your own shades! In my case, I wear the Sand in ISSF!"" - @_kimjaekyung_

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador @BobbiBrown @BobbiBrownkorea #세럼파운데이션 #광채파데 #바비브라운",0,0,7,0,0,0,1.0,
0,2017-02-13T05:00:00+0000,146241435387419_1480091312002418,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1480091312002418/?type=3,"""Maintaining healthy skin is the most important and difficult thing to do because I wear various products on my skin (to create beauty contents) every day. My secret item is Bobbi’s Serum Foundation. It has the same effect as a super serum on my skin. Whenever I wear Serum Foundation in Warm Ivory, I feel like I am applying another serum, not a foundation."" - @risabae_art

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador @BobbiBrown @BobbiBrownkorea #세럼파운데이션 #광채파데 #바비브라운",0,0,4,0,0,0,,
0,2017-02-13T04:00:03+0000,146241435387419_1480087602002789,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1480087602002789/?type=3,"""You know I do my own makeup for broadcast shootings sometimes and Serum Foundation in Sand is my all-time favorite each time. Its luxurious finish and special skincare effect make me always perfect on screen and in real life."" - @_kimjaekyung_

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador @BobbiBrown @BobbiBrownkorea #세럼파운데이션 #광채파데 #바비브라운",0,0,5,0,0,0,1.0,
0,2017-02-10T11:03:30+0000,146241435387419_1480086235336259,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1480086235336259/?type=3,"""I'm in love with Bobbi Brown Intensive Skin Serum Foundation with SPF in Warm Beige because it gives my skin radiance, clarity and luminosity, making my skin firmer and smoother looking all day! It's the perfect fusion of treatment and makeup!"" - @idaandu

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador @BobbiBrown",0,0,9,0,0,0,,
0,2017-02-09T11:02:04+0000,146241435387419_1479222335422649,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1479222335422649/?type=3,"Oil or Milk?

Our Soothing Cleansing Milk is here! The much anticipated skincare product is a cleanser-oil-lotion hybrid which contains Chia Seed Oils - a major superfood that also works wonders as a skin ingredient!

It is great for double cleansing too! Simply start with the Original Soothing Cleansing Oil to remove your makeup, followed by the Soothing Cleansing Milk to refresh and hydrate the skin.
Visit our studios today to get a travel sized sample today!

#BeWhoYouAre #BobbiBrownSG",0,0,10,0,0,0,,
0,2017-02-10T11:00:23+0000,146241435387419_1480086108669605,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1480085422003007/?type=3,"""Confidence is healthy beautiful skin. Bobbi's Intensive Skin Serum Foundation with SPF in Warm Beige helps me achieve a flawlessly natural look, instantly!"" - @idaandu

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador",0,0,1,0,0,0,,
0,2017-02-06T10:00:05+0000,146241435387419_1476179335726949,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1476179335726949/?type=3,"""Enjoying my coffee and foundation on my working day 😊I have really been enjoying Bobbi Brown Intensive Skin Serum foundation for months now!! It is a skin serum that has sheer foundation inside so it's really good for days that I want my skin to look real but healthy! Fast absorption and brings out the healthy glow."" - Pearypie: Make-up Artist/Theatrical Artist

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador",0,0,7,1,0,0,,
